"","codes","lat","long"
"1","ABE",40.6523627777778,-75.4404058333333
"2","ABI",32.4113333333333,-99.6818888888889
"3","ABQ",35.0389315555556,-106.608262166667
"4","ABR",45.4467980555556,-98.4224408333333
"5","ABY",31.5355277777778,-84.1944722222222
"6","ACK",41.2529750555556,-70.0599114166667
"7","ACT",31.6121944444444,-97.2303055555555
"8","ACV",40.9778333333333,-124.108472222222
"9","ACY",39.4575833333333,-74.5771666666667
"10","ADQ",57.7497938888889,-152.493943611111
"11","AEX",31.3273716666667,-92.5485558333333
"12","AGS",33.3699444444444,-81.9645
"13","AKN",58.6764934722222,-156.648691
"14","ALB",42.7491161111111,-73.80198
"15","ALO",42.5584491666667,-92.4010233333333
"16","AMA",35.2193611111111,-101.705916666667
"17","ANC",61.1740847222222,-149.9981375
"18","APN",45.0780833333333,-83.5603055555555
"19","ASE",39.2218888888889,-106.868222222222
"20","ATL",33.6366996111111,-84.427864
"21","ATW",44.2580930555556,-88.5190722222222
"22","ATY",44.9139722222222,-97.1547222222222
"23","AUS",30.1945272222222,-97.6698761111111
"24","AVL",35.4361105555556,-82.5420472222222
"25","AVP",41.3384722222222,-75.7233888888889
"345","AZA",33.309,-111.6559
"26","AZO",42.2343888888889,-85.5515555555556
"27","BDL",41.9390322222222,-72.6843158333333
"28","BET",60.7785555555555,-161.837166666667
"29","BFF",41.8740277777778,-103.595638888889
"30","BFL",35.4338611111111,-119.057666666667
"31","BFM",30.6267805555556,-88.0680908333333
"32","BGM",42.2084444444444,-75.9796111111111
"33","BGR",44.8074444444444,-68.8281388888889
"34","BHM",33.5638888888889,-86.7523055555556
"35","BIL",45.8078491388889,-108.543543555556
"36","BIS",46.7727338888889,-100.7457375
"37","BJI",47.5107222222222,-94.9347222222222
"350","BKG",36.5385,-93.1991
"38","BLI",48.7926944444445,-122.537527777778
"39","BLV",38.5451730555556,-89.8351855555556
"40","BMI",40.4771111111111,-88.9159166666667
"41","BNA",36.124475,-86.6781805555556
"42","BOI",43.5643611111111,-116.222861111111
"43","BOS",42.3629444444444,-71.0063888888889
"44","BPT",29.9508333333333,-94.0206944444444
"45","BQK",31.2590346944444,-81.4663158333333
